name,ShortName,ModeAndPID,Equation,Min Value,Max Value,Units,Header
"PR_ЭЛЕКТРОПИТАНИЕ ЭБУ","PR004","2101","(1.0*(D+10.72))/14.86","0","0","V","705"
"PR_ПРОБЕГ А/М ПРИ ПОСЛЕДНЕМ ПОЯВЛ. НЕИСПР.","PR001","1906FF","(E*65536+F*256+G)","0","0","km","705"
"PR_НАРУЖНАЯ ТЕМПЕРАТУРА","PR009","2103","V-40","0","0","*C","705"
"ST_КНОПКА ЭЛЕКТРИЧЕСКОГО ДЕТСКОГО ЗАМКА","ET017","2101","{C:5}","0","0","","705"
"ST_ПРОГРАММИР. СТЕКЛОПОДЪЕМ. ДВЕРИ ВОДИТЕЛЯ","ET008","2101","{H:0}","0","0","","705"
"ST_КОНТАКТ НАРУЖНОЙ РУЧКИ ДВЕРИ","ET027","2101","{F:2}","0","0","","705"
