name,ShortName,ModeAndPID,Equation,Min Value,Max Value,Units,Header
"PR_НАПРЯЖЕНИЕ АККУМУЛЯТОРНОЙ БАТАРЕИ 12 В","PR144","22012F","(1.0*((A*256+B)))/256","0","20","V","742"
"PR_ЧИСЛО ВКЛ. +APC ПОСЛЕ ЗАП. В ПАМ. НЕИСПР.","PR141","22011E","A","0","128","","742"
"PR_НАПРЯЖЕНИЕ ПИТАНИЯ","PR032","22012F","(1.0*((A*256+B)))/256","0","20","V","742"
"PR_СКОРОСТЬ АВТОМОБИЛЯ","PR011","220116","A","0","300","км/час","742"
"PR_ЗНАЧ СКОР АВТОМОБ ПЕРЕСЧИТАННОЕ D.A.E.","PR010","220116","A","0","300","км/час","742"
"PR_ДАТЧИК УГЛА РУЛЯ","PR041","220104","(1.0*((signed(A)*256+B)))/10","0","8000","d*","742"
"PR_УГОЛ РУЛЕВОГО КОЛЕСА","PR121","220102","{A:2}","0","10","","742"
"PR_СКОРОСТЬ ВРАЩЕНИЯ РУЛЕВОГО КОЛЕСА","PR031","220101","(1.0*((signed(A)*256+B)))/10","0","0","*/с","742"
"PR_ПРИКЛАДЫВАЕМЫЙ К РУЛ КОЛЕСУ КРУТ МОМЕНТ","PR001","22012C","(signed(A))","0","128","A","742"
"PR_СИЛА ТОКА ЭЛЕКТРОДВИГАТЕЛЯ","PR035","22012C","(signed(A))","0","128","A","742"
"PR_ТЕМПЕРАТУРА ЭБУ","PR008","22012E","2*(signed(A))","0","256","*C","742"
"PR_ИНФОРМАЦИЯ ПОСТАВЩИКА N°1","PR018","220163","A","0","128","","742"
"PR_ТЕМПЕРАТУРА ЭЛЕКТРОДВ УСИЛИТЕЛЯ РУЛ УПР","PR009","22012D","2*(signed(A))","0","256","*C","742"
"ST_РАБОТА ТЕПЛОВОГО ДВИГАТЕЛЯ","ET023","220501","A","0","0","","742"
"ST_СОСТОЯНИЕ ЗАЖИГАНИЯ","ET007","220131","A","0","0","","742"
"ST_ВЫБРАННЫЙ АЛГОРИТМ","ET019","220119","(signed(A))","0","0","","742"
