name,ShortName,ModeAndPID,Equation,Min Value,Max Value,Units,Header
"PR_ОПЕРЕЖЕНИЕ ЗАЖИГАНИЯ","PR448","222807","(1.0*(A-63))/2.666","0","0","*V","7E0"
"PR_СУММАРНЫЙ ПРОБЕГ В KM","PR992","222006","(A*65536+B*256+C)","0","0","km","7E0"
"PR_НАПРЯЖЕНИЕ ДАТЧИКА ОХЛАЖДАЮЩЕЙ ЖИДКОСТИ","PR076","22200D","(1.0*((A*256+B)))/100","0","0","V","7E0"
"PR_МОЩНОСТЬ ГЕНЕРАТОРА","PR1029","222057","10*(A*256+B)","0","0","W","7E0"
"PR_ЗАРЯД ОТ ГЕНЕРАТОРА","PR002","222099","(1.0*(A))/2.55","0","0","%","7E0"
"PR_ИЗМЕРЕННОЕ НАПРЯЖЕНИЕ ДР. КЛ.. ДОРОЖКА 1","PR539","222418","(A*256+B)","0","0","mV","7E0"
"PR_УСТАНОВКА ПОЛОЖЕНИЯ ДРОСС. КЛ. С СЕРВОПР.","PR492","222414","(1.0*((A*256+B)))/20","0","0","%","7E0"
"PR_КОЛИЧЕСТВО ОБОРОТОВ КОЛЕНЧАТОГО ВАЛА","PR1232","22210E","(A*16777216+B*65536+C*256+D)","0","0","","7E0"
"PR_КОЛИЧЕСТВО ЗАПУСКОВ 1","PR1309","22216B","(A*65536+B*256+C)","0","0","","7E0"
"PR_КОЛИЧЕСТВО ЗАПУСКОВ 2","PR1310","22216A","(A*65536+B*256+C)","0","0","","7E0"
"PR_КОЛИЧЕСТВО ЗАПУСКОВ 3","PR1311","222169","(A*65536+B*256+C)","0","0","","7E0"
"PR_КОЛИЧЕСТВО ЗАПУСКОВ 4","PR1312","222168","(A*65536+B*256+C)","0","0","","7E0"
"PR_ЗАДЕРЖКА ПОДОГРЕВА ВЕРХНЕГО ДАТЧИКА","PR1030","2224C4","(A*256+B)","0","0","","7E0"
"PR_ПРОБЕГ ПОСЛЕ ПОСЛ. УСТРАН. НЕИСПРАВНОСТИ","PR1028","190685","(E*65536+F*256+G)","0","0","km","7E0"
"PR_ДОПОЛНИТЕЛЬНАЯ ИНФОРМАЦИЯ 284E","PR1050","22284E","A","0","0","","7E0"
"PR_ДОПОЛНИТЕЛЬНАЯ ИНФОРМАЦИЯ FD42","PR1059","22FD42","(A&3)","0","0","","7E0"
"PR_ДОПОЛНИТЕЛЬНАЯ ИНФОРМАЦИЯ FD43","PR1060","22FD43","A","0","0","","7E0"
"PR_ДОПОЛНИТЕЛЬНАЯ ИНФОРМАЦИЯ FD4D","PR1058","22FD4D","(B&127)","0","0","","7E0"
"PR_ДОПОЛНИТЕЛЬНАЯ ИНФОРМАЦИЯ FD4E","PR1061","22FD4E","A","0","0","","7E0"
"PR_ДОПОЛНИТЕЛЬНАЯ ИНФОРМАЦИЯ 2861","PR1057","222861","A","0","0","","7E0"
"PR_ДОПОЛНИТЕЛЬНАЯ ИНФОРМАЦИЯ FD68","PR1062","22FD68","(1.0*((A*256+B)))/32768","0","0","","7E0"
"PR_ДОПОЛНИТЕЛЬНАЯ ИНФОРМАЦИЯ 281C","PR1076","22281C","A","0","0","","7E0"
"PR_ДОПОЛНИТЕЛЬНАЯ ИНФОРМАЦИЯ 2862","PR1075","222862","A","0","0","","7E0"
"PR_ПОСЛ. ЗАПР. ЗН. ИЗМЕРИТЕЛЯ ФАЗЫ ДВИГАТЕЛЯ","PR1051","222156","A","0","0","","7E0"
"PR_АДАП. КОР. ИЗМЕРИТЕЛЯ ФАЗЫ ДВИГАТЕЛЯ","PR1052","22215D","(A*256+B)-32768","0","0","","7E0"
"PR_ДОПОЛНИТЕЛЬНАЯ ИНФОРМАЦИЯ 24E1","PR1055","2224E1","(A*256+B)","0","0","мбар","7E0"
"PR_ДОПОЛНИТЕЛЬНАЯ ИНФОРМАЦИЯ 2506","PR1056","222506","A","0","0","","7E0"
"PR_ПРОБЕГ А/М ПРИ ПОСЛЕДНЕМ ПОЯВЛ. НЕИСПР.","PR804","1906FF","(E*65536+F*256+G)","0","0","km","7E0"
"PR_ЧИСЛО СЛУЧАЕВ ПОЯВЛЕНИЕ НЕИСПРАВНОСТИ","PR806","190684","E","0","0","","7E0"
"PR_ПРОБЕГ А/М ПРИ ПЕРВОМ ПОЯВЛЕН НЕИСПРАВН","PR869","190687","(E*65536+F*256+G)","0","0","km","7E0"
"PR_ПРОБЕГ С ПРИСУТСТВУЮЩЕЙ НЕИСПРАВНОСТЬЮ","PR870","190686","(E*65536+F*256+G)","0","0","km","7E0"
"ST_ВВОД ПАРАМЕТРОВ МИШЕНИ МАХОВИКА ДВИГАТЕЛЯ","ET089","22215B","A","0","0","","7E0"
"ST_+ ПОСЛЕ ВКЛ. ЗАЖИГ. НА КОМПЬЮТЕРЕ","ET001","22200E","A","0","0","","7E0"
"ST_ВВОД ПАРАМЕТРОВ КРАЙНИХ ПОЛОЖ. ДРОСС. КЛ.","ET051","22245D","A","0","0","","7E0"
"ST_СИНХР. РАСПРЕД. ВАЛА/ВМТ","ET775","222014","A","0","0","","7E0"
"ST_ПЕРЕД. ОТНОШ. КОРОБКИ ПЕРЕДАЧ","ET041","222C04","(A&7)","0","0","","7E0"
"ST_КОНТАКТ ПЕДАЛИ СЦЕПЛЕНИЯ","ET405","22222D","A","0","0","","7E0"
"ST_СИГН ДАТЧ НАЧ ХОДА ПЕД СЦ ПО ПРОВ СВЯЗИ","ET764","22222C","A","0","0","","7E0"
"ST_ОТКЛ. ВОДИТЕЛЕМ РЕГУЛ. И ОГРАНИЧ. СКОР.","ET556","222078","A","0","0","","7E0"
"ST_ВЫКЛЮЧАТЕЛЬ ЗАПУСКА ДВИГАТЕЛЯ","ET691","222079","A","0","0","","7E0"
"ST_ВКЛЮЧЕНИЕ ЗАДНЕГО ХОДА","ET726","222079","A","0","0","","7E0"
"ST_ПРОТИВОПРОБУКС. СИС. И СТАБИЛИЗ. ТРАЕКТ.","ET807","222079","A","0","0","","7E0"
"ST_РЕГУЛИРОВКА СКОРОСТИ","ET043","222079","A","0","0","","7E0"
"ST_СТОЯНОЧНЫЙ ТОРМОЗ","ET808","222079","A","0","0","","7E0"
"ST_РЕГУЛ. СКОР. ЗАБЛОКИРОВАН ЭБУ СИСТ. ВПР.","ET834","222079","A","0","0","","7E0"
"ST_ОГРАН. СКОР. ЗАБЛОКИРОВАН ЭБУ СИСТ. ВПР.","ET835","222079","A","0","0","","7E0"
"ST_ПЕР. ИНФ. ПО МУЛ. СЕТИ О РАСПОЗ. ТОРМОЖ.","ET759","22200F","A","0","0","","7E0"
"ST_НЕЙТ. ПОЛОЖ. РЫЧ ПЕРЕКЛ. МЕХАН. КОР. ПЕР","ET755","22222E","A","0","0","","7E0"
"ST_АВТ. КОР. ПЕР. РАБОТАЕТ В РЕЗЕР. РЕЖИМЕ","ET756","22204F","A","0","0","","7E0"
