name,ShortName,ModeAndPID,Equation,Min Value,Max Value,Units,Header
"PR_НАПРЯЖЕНИЕ АККУМУЛЯТОРНОЙ БАТАРЕИ 12 В","PR110","222006","(1.0*((A*256+B)))/1000","7","16.5","V","743"
"PR_РЕЗИСТОР ДАТЧИКА УРОВНЯ ТОПЛИВА","PR002","222201","(A*256+B)","5","350","Ом","743"
"PR_ПОДАЧА ТОПЛИВА","PR112","222103","A","0","0","l/h","743"
"PR_РАСХОД ТОПЛИВА","PR003","222102","(1.0*(5*(A*256+B)))/100","0","0","л.","743"
"PR_ПЕРИОДИЧНОСТЬ ЗАМЕНЫ МАСЛА. КМ","PR005","220201","(A*256+B)","0","0","km","743"
"PR_ПЕРИОДИЧНОСТЬ ЗАМЕНЫ МАСЛА В ДНЯХ","PR050","220201","(C*256+D)","0","0","ДЕНЬ","743"
"PR_ТЕК ЗН ПРОБЕГА В КМ ДО ОЧЕР СМЕНЫ МАСЛА","PR007","220202","(A*256+B)","0","0","km","743"
"PR_ЗАПАС ХОДА ДО ОЧЕРЕД ЗАМЕНЫ МАСЛА В ДНЯХ","PR038","220202","(C*256+D)","0","0","ДЕНЬ","743"
"PR_ЗАП. ХОДА ДО ЗАМ МАСЛА: ТЕК ЗНАЧ В МИЛЯХ","PR023","220202","(A*256+B)*(1.0*64)/103","0","0","miles","743"
"PR_ПЕРИОДИЧНОСТЬ ЗАМЕНЫ МАСЛА В МИЛЯХ","PR024","220201","(A*256+B)*(1.0*64)/103","0","0","miles","743"
"PR_ИЗМЕРЕНИЕ ПРОБЕГА","PR009","220206","(signed(A)*16777216+B*65536+C*256+D)","0","0","km","743"
"PR_ПРОБЕГ. МИЛИ","PR026","220206","(signed(A)*16777216+B*65536+C*256+D)*(1.0*64)/103","0","0","miles","743"
"PR_ОТОБРАЖАЕМЫЙ УРОВЕНЬ ТОПЛИВА","PR039","222201","(1.0*((G*256+H)))/100","0","67","л.","743"
"PR_МГНОВЕННОЕ ЗНАЧЕНИЕ УРОВНЯ ТОПЛИВА","PR040","222201","(1.0*((C*256+D)))/100","0","67","л.","743"
"PR_ГРОМКОСТЬ/ИНДИКАТОР 1 И УРОВЕНЬ ТОПЛИВА","PR059","220305","H","0","0","л.","743"
"PR_ГРОМКОСТЬ/ИНДИКАТОР 1/4 ЗАПОЛНЕН","PR060","220305","G","0","0","л.","743"
"PR_ГРОМКОСТЬ/ИНДИКАТОР 3/8 ЗАПОЛНЕН","PR061","220305","F","0","0","л.","743"
"PR_ГРОМКОСТЬ/ИНДИКАТОР 1/2 ЗАПОЛНЕН","PR062","220305","E","0","0","л.","743"
"PR_ГРОМКОСТЬ/ИНДИКАТОР 5/8 ЗАПОЛНЕН","PR063","220305","D","0","0","л.","743"
"PR_ГРОМКОСТЬ/ИНДИКАТОР 3/4 ЗАПОЛНЕН","PR064","220305","C","0","0","л.","743"
"PR_ГРОМКОСТЬ/ИНДИКАТОР 7/8 ЗАПОЛНЕН","PR065","220305","B","0","0","л.","743"
"PR_ГРОМКОСТЬ/ИНДИКАТОР ЗАПОЛНЕН","PR066","220305","A","0","0","л.","743"
"PR_ПРОБЕГ А/М ПРИ ПОСЛЕДНЕМ ПОЯВЛ. НЕИСПР.","PR030","190680","(E*65536+F*256+G)","0","0","km","743"
"ST_МИН. УРОВЕНЬ ТОРМОЗНОЙ ЖИДКОСТИ","ET019","222002","C","0","0","","743"
"ST_СТОЯНОЧНЫЙ ТОРМОЗ","ET097","222001","A","0","0","","743"
"ST_СИДЕНЬЕ С ПОДОГРЕВОМ","ET055","222007","A","0","0","","743"
"ST_ВЕРСИЯ ЯЗЫКА","LC002","220101","A","0","0","","743"
"ST_ТИП ИНДИКАЦИИ НА ДИСПЛЕЕ БОРТОВОГО КОМПЬЮТЕРА","LC003","220106","A","0","0","","743"
"ST_ЕДИНИЦА РАССТОЯНИЯ","LC051","220104","A","0","0","","743"
"ST_ЕДИНИЦА ИЗМЕРЕНИЯ ПОТРЕБЛЕНИЯ","LC054","220105","A","0","0","","743"
"ST_ЕДИНИЦА ДАВЛЕНИЯ В ШИНАХ","LC047","220107","A","0","0","","743"
"ST_ФУНКЦИЯ КОНТРОЛЯ ДАВЛЕНИЯ В ШИНАХ","LC105","22010E","A","0","0","","743"
"ST_ПРЕДУПРЕЖДЕНИЕ О ПРЕВЫШЕНИИ СКОРОСТИ","LC076","22010F","A","0","0","","743"
"ST_ТИП КОРОБКИ ПЕРЕДАЧ","LC029","220102","A","0","0","","743"
"ST_РЕГУЛ./ОГРАНИЧ. СКОРОСТИ","LC061","220108","A","0","0","","743"
