name,ShortName,ModeAndPID,Equation,Min Value,Max Value,Units,Header
"PR_УСТАНОВКА PWM ЭЛ. ВЕНТИЛЯТ. САЛОНА","PR019","2121","K","0","100","%","744"
"PR_УПРАВЛЕНИЕ СКОРОСТЬЮ ВЕНТИЛЯТОРА","PR030","2121","0.1*J","0","15","V","744"
"PR_ПОЛОЖЕНИЕ РАСПРЕДЕЛИТ. ЗАСЛОНКИ","PR011","2127","(G&127)","0","100","%","744"
"PR_ЗАД ПОЛОЖ Э-ДВ ПРИВ ЗАСЛ РАСПР ВОЗ ПОТОК","PR048","2127","(A&127)","0","100","%","744"
"PR_ПОЛОЖЕНИЕ ЛЕВОЙ СМЕСИТ. ЗАСЛОНКИ","PR020","2127","(H&127)","0","100","%","744"
"PR_ЗАДАН ПОЛ ЭЛ/ДВ ПРИВ ЛЕВ ЗАС СМ ВОЗД ПОТ","PR034","2127","(B&127)","0","100","%","744"
"PR_ПОЛОЖЕНИЕ ПРАВОЙ СМЕСИТ. ЗАСЛОНКИ","PR021","2127","(K&127)","0","100","%","744"
"PR_ЗАДАН ПОЛ ЭЛ/ДВ ПРИВ ПР ЗАСЛ СМ ВОЗД ПОТ","PR035","2127","(E&127)","0","100","%","744"
"PR_ПОЛОЖЕНИЕ ЗАСЛОНКИ РЕЦИРКУЛЯЦИИ","PR036","2127","(J&127)","0","100","%","744"
"PR_ЗАДАН ПОЛ ЭЛ/ДВ ПРИВ ЗАСЛ РЕЦИРК ВОЗДУХА","PR039","2127","(D&127)","0","100","%","744"
"PR_ЛЕВЫЙ ДАТЧИК ИНТЕНС. СОЛН. ОСВЕЩЕНИЯ","PR027","2122","50*(M&31)","0","1000","Вт/м2","744"
"PR_ПРАВЫЙ ДАТЧИК ИНТЕНС. СОЛН. ОСВЕЩЕНИЯ","PR028","2122","50*(N&31)","0","0","Вт/м2","744"
"PR_ВЛАЖНОСТЬ","PR007","2121","0.5*C","0","0","%","744"
"PR_ВНУТРЕННЯЯ ТЕМПЕРАТУРА","PR001","2121","0.4*B-40","-40","60","*C","744"
"PR_ПРОБЕГ А/М ПРИ ПОСЛЕДНЕМ ПОЯВЛ. НЕИСПР.","PR044","1906FF","(E*65536+F*256+G)","0","0","km","744"
"ST_ЗАПРОС КОНДИЦИОНИРОВАНИЯ ВОЗДУХА","ET140","2122","{C:4}","0","0","","744"
"ST_РАБОТА КОНД. ЗАПРЕЩЕНА КОМП. ВПРЫСКА","ET003","2122","{P:2}","0","0","","744"
"ST_РАБОТАЮЩИЙ ДВИГАТЕЛЬ","ET036","2122","(P&3)","0","0","","744"
"ST_ЗАПРОС НА ВКЛ ОБОГРЕВА ЗАДНЕГО СТЕКЛА","ET150","2122","{D:3}","0","0","","744"
"ST_ВЕНТИЛЯТОР САЛОНА","ET141","2122","{C:7}","0","0","","744"
"ST_ТИП НАГРЕВАТЕЛЬНЫХ РЕЗИСТОРОВ","LC044","2101","C","0","0","","744"
"ST_ДАТЧИК ТОКСИЧНОСТИ ВОЗДУХА","LC004","2101","J","0","0","","744"
