name,ShortName,ModeAndPID,Equation,Min Value,Max Value,Units,Header
"PR_ПРОБЕГ А/М ПРИ ПОСЛЕДНЕМ ПОЯВЛ. НЕИСПР.","PR036","190680","(E*65536+F*256+G)","0","0","km","751"
"ST_КАЛИБРОВКА ЭБУ","LC014","2111","(H*256+I)","0","0","","751"
